State,Plot,Entry,Genotype,envi,envi1,rep,SW,SL,CL,CW,CWT,DTA,DTS,EH,EL,EW,EWT,GWT,KD,KH,KRN,KW,LNA,LNB,PHt,PHt14,PHt21,PHt28,PHt35,PHt42,PHt49,PHt56,PHt63,PHt70
Iowa,333063,Inbred027,B175,X333,I_K2_H,1,6.4643,9.186121667,98.96122221,22.58730278,9.15,63,64,89.66666667,100.1359722,25.62493111,44.13666667,34.98666667,4.625939723,1.518814167,17,5.537645282,5.333333333,.,192.8333333,22.83333333,41.33333333,65,81,108.1666667,162.6666667,.,.,.
Iowa,333072,Inbred028,B189,X333,I_K2_H,1,6.500918333,10.68874333,114.7550833,26.11649167,12.31,64,66,87.6,111.8817083,33.45885556,65.691,53.381,3.973115625,3.818819447,17,6.308860919,5.333333333,.,187.25,22.66666667,43,63.66666667,79.66666667,104.6666667,155.1666667,.,.,.
Iowa,333064,Inbred029_33,B73,X333,I_K2_H,1,6.754071667,10.47665333,128.4060311,24.82067539,15.5876,64.8,64.4,106.1666667,126.6935772,30.50310695,85.3536,69.766,4.351209089,3.192727084,16.34,5.815939696,5.28,.,211.6933333,24.1,43.83333333,68.5,87.33333333,113.1666667,170.1,.,.,.
Iowa,334069,Inbred012,Mo17,X333,I_K2_H,2,7.843096667,9.219565,133.7168889,16.83949445,6.47,64,67,95,133.5235667,24.25982222,49.72166667,43.25166667,4.843603611,3.710163888,9.333333333,8.246284635,4.5,.,196.3333333,19.5,36.83333333,55.5,72,90.16666667,140.3333333,.,.,.
Iowa,334061,Inbred014,B004,X333,I_K2_H,2,6.593416667,10.147935,139.0579445,26.51936389,17.79333333,64,64,105.8333333,132.7763834,34.10232222,109.2991667,91.50583333,3.771847084,3.791479167,16.66666667,6.476916036,4.833333333,.,203.8333333,21.66666667,40,66.16666667,83.5,107.8333333,162.6666667,.,.,.
Iowa,334059,Inbred015,B040,X333,I_K2_H,2,6.555316667,9.628928333,128.2347222,22.62995361,12.82166667,62,63,82.33333333,126.0845417,29.18116042,63.21916667,50.3975,5.2631975,2.769261458,15,6.122232972,5.2,.,193.4,21.66666667,38,60,77.16666667,102.6666667,156.1666667,.,.,.
Iowa,334060,Inbred016,B043,X333,I_K2_H,2,5.545455,8.635788333,111.8799444,20.83558472,7.703333333,62,62,86.66666667,114.0565833,26.54511667,43.84416667,36.14083333,4.094744583,2.799750278,14.66666667,5.460176995,4.166666667,.,165.8333333,17,31.16666667,49.5,64,81.5,131.3333333,.,.,.
Iowa,334057,Inbred017,B049,X333,I_K2_H,2,6.231466667,9.128971667,100.1818333,25.86178611,12.295,69,69,119.1666667,100.8574028,30.61059833,48.77583333,36.48083333,5.091465278,2.390669167,16.8,5.74505372,5.333333333,.,212.5,20.83333333,40.66666667,66,79.83333333,105.3333333,158.3333333,.,.,.
Iowa,334063,Inbred018,B055,X333,I_K2_H,2,6.503246667,11.21579333,127.4572,25.83434,17.464,64,65,122.4,124.9341333,34.777045,102.258,84.794,3.987821167,4.4713525,18,6.142070882,5,.,218,20.66666667,43.83333333,69.33333333,90.16666667,118.1666667,180,.,.,.
Iowa,334072,Inbred019,B102,X333,I_K2_H,2,5.852583333,9.933516667,124.6258056,24.86518889,15.645,66,66,97.5,122.2339722,32.27846111,83.69166667,68.04666667,3.662697639,3.70663611,17.66666667,5.772643067,5.333333333,.,197,22.66666667,40.83333333,62.33333333,80.66666667,103.8333333,154.1666667,.,.,.
Iowa,334062,Inbred020,B107,X333,I_K2_H,2,6.756611667,10.036175,91.70246667,24.02882333,11.258,66,64,113,97.63389583,32.76891042,59.294,48.036,4.270877708,3.730228125,16.5,6.25368338,5.25,.,191.5,20.5,45.33333333,64.83333333,80.16666667,103.6666667,148.3333333,.,.,.
Iowa,334083,Inbred021,B111,X333,I_K2_H,2,5.712883333,9.512511667,121.95175,26.5303,14.39666667,66,67,100.1666667,120.61825,32.47522292,78.56583333,64.16916667,4.357616945,3.080146875,18.66666667,5.667995652,5.333333333,.,202.3333333,23,43.66666667,65.83333333,82.16666667,106.6666667,160,.,.,.
Iowa,334056,Inbred022,B122,X333,I_K2_H,2,6.519545,8.425815,100.0724722,22.88564694,9.141666667,67,69,117.3333333,99.62091666,30.12157778,37.68166667,28.54,4.9138205,2.223911113,16,5.467950377,5.4,.,209.4,19.16666667,34.5,56.66666667,73.66666667,93.16666667,146.6666667,.,.,.
Iowa,334080,Inbred023,B123,X333,I_K2_H,2,6.489065,9.246446667,128.0265833,25.79698083,16.8275,66,67,118.6,124.5049792,32.73495556,57.2975,40.47,4.858411459,3.618371112,16.66666667,6.064345745,.,.,.,22.5,42.83333333,66.66666667,80.33333333,102.3333333,156.1666667,.,.,.
Iowa,334082,Inbred024,B125,X333,I_K2_H,2,6.469591667,9.80567,124.7916111,23.97894056,16.51833333,66,67,126.3333333,122.8336944,31.05996667,87.69083333,71.1725,4.204105695,3.540513055,16.33333333,6.034120815,6,.,234.6,24.16666667,43.83333333,69.66666667,87.5,113.8333333,170.5,.,.,.
Iowa,334054,Inbred025,B131,X333,I_K2_H,2,6.324176667,9.849908333,146.431,26.10908333,19.39,65,64,96.33333333,144.7884667,33.00772333,99.04,79.65,3.711194,3.449320001,17.2,6.077248018,5,.,188.6,24,43.83333333,68.33333333,85.5,110.5,165.3333333,.,.,.
Iowa,334055,Inbred026,B154,X333,I_K2_H,2,6.502823333,10.31028333,138.2042222,24.51593889,19.05666667,63,63,89.83333333,134.7875694,32.79898472,108.9866667,89.93,3.881014167,4.141522918,16.66666667,6.200406856,5.5,.,185.5,25,43.5,64.5,84.5,109.5,161.8333333,.,.,.
Iowa,334053,Inbred027,B175,X333,I_K2_H,2,6.318461667,9.705975,120.8151,26.26571666,14.384,62,62,80.4,117.8411834,31.94764375,74.218,59.834,4.959265333,3.041253126,18,5.575915717,5.6,.,173.4,24,43.83333333,67.33333333,86.16666667,109.6666667,159.6666667,.,.,.
Iowa,334051,Inbred028,B189,X333,I_K2_H,2,6.692265,10.93766333,119.3927,25.33692333,15.52,63,64,96.16666667,118.8868167,32.64662,89.431,73.911,4.382791167,3.654848334,16.4,6.289041765,5.166666667,.,189.8333333,20.16666667,38.33333333,65.66666667,83.16666667,109.3333333,166,.,.,.
Iowa,334073,Inbred029_33,B73,X333,I_K2_H,2,6.253903333,10.32340667,131.4591111,25.41855611,16.8866,64.2,64.4,96.31333333,129.6397656,32.91689364,91.40346667,74.51686667,4.308760044,3.732193096,17.57333333,5.888208003,5.2,.,202.2466667,25.23333333,45.03333333,69.23333333,87.8,113.2666667,167.2333333,.,.,.
Iowa,335075,Inbred012,Mo17,X335,I_K2_L,1,8.403166667,10.309225,160.6832222,18.99793,12.05833333,64,.,81,162.1239667,.,59.32666667,47.26833333,5.529537667,.,10.8,.,5.166666667,.,180.8333333,.,29.66666667,40.83333333,60.83333333,104.8333333,.,.,.,.
Iowa,335053,Inbred014,B004,X335,I_K2_L,1,6.379845,11.08879333,152.9362222,27.78160278,22.82,61,59,81.5,146.7467361,37.017325,137.315,114.495,3.756254306,4.61786111,18,6.531006456,5.666666667,.,172,.,46.66666667,66.66666667,86.5,133.3333333,.,.,.,.
Iowa,335077,Inbred015,B040,X335,I_K2_L,1,7.838016667,10.7315,129.6458333,24.08428,15.325,64,65,79.16666667,133.2632167,.,56.62916667,41.30416667,5.391255833,.,15,.,4.833333333,.,179.3333333,.,23,35,49.16666667,81.16666667,.,.,.,.
Iowa,335063,Inbred016,B043,X335,I_K2_L,1,6.280785,9.379161667,121.5989722,22.27805778,10.405,66,65,70.4,119.0713194,30.22547083,55.67166667,45.26666667,4.284433194,3.527160416,13.33333333,6.345406256,4.8,.,151.8,.,22.8,36.2,49,79,.,.,.,.
Iowa,335070,Inbred017,B049,X335,I_K2_L,1,7.420186667,10.457815,120.1335333,27.01586333,18.478,.,.,98,114.6915833,32.82526667,72.272,53.794,4.938162167,3.363383335,15.6,7.365972616,5.833333333,.,179.5,.,27.66666667,43.16666667,60.16666667,96.16666667,.,.,.,.
Iowa,335082,Inbred018,B055,X335,I_K2_L,1,6.730576667,11.44143,128.4111111,25.11566111,16.45,65,65,116.3333333,125.079125,33.56186667,85.22166667,68.77166667,4.382205555,4.092575,17,5.857650765,4.833333333,.,219.6666667,.,32,50.83333333,70.16666667,110.8333333,.,.,.,.
Iowa,335062,Inbred019,B102,X335,I_K2_L,1,6.477,10.61127333,134.0555556,25.04898611,18.15333333,65,64,83.16666667,132.0094444,29.58359167,92.895,74.74166667,3.965204583,2.297641668,16.33333333,5.80872464,6,.,182,.,33,51.33333333,69.16666667,109,.,.,.,.
Iowa,335081,Inbred020,B107,X335,I_K2_L,1,6.899063333,10.500995,96.88336112,26.15988333,13.37333333,66,64,100.5,95.53398612,30.57736667,69.86333333,56.49,4.770719722,3.514724998,17.33333333,6.003851905,5.5,.,187.3333333,.,29,47.5,67,107,.,.,.,.
Iowa,335074,Inbred021,B111,X335,I_K2_L,1,6.9088,10.42585333,133.7592222,26.39765556,17.95,.,.,99.16666667,127,34.48614445,85.05583333,67.10583333,4.709989028,3.723569445,17.33333333,6.533196087,5,.,184.6666667,.,25.16666667,40.16666667,59.16666667,96.16666667,.,.,.,.
